# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	160
#@/user_id	9d9017ca-31a3-44f1-a23b-3b8d6c4984e3
bù 	不	c=1 d=1 t=142
bù gēn 	不跟	c=0 d=0.0918512 t=160
bú guò 	不过	c=1 d=1 t=53
bú gàn le 	不干了	c=1 d=1 t=82
bú huì shì 	不会是	c=1 d=1 t=60
bú qù 	不去	c=1 d=1 t=141
bú shì 	不是	c=1 d=1 t=145
bā 	吧	c=1 d=1 t=75
bǎ nǐ dāng 	把你当	c=1 d=1 t=138
bǐ 	比	c=0 d=0.1 t=44
bǐ shéi dōu kuài 	比谁都快	c=1 d=1 t=45
cháo xiào 	嘲笑	c=1 d=1 t=47
chī 	吃	c=1 d=1 t=156
cí kù 	词库	c=1 d=0.995012 t=160
cóng xiǎo dào dà 	从小到大	c=1 d=1 t=114
cǎn le 	惨了	c=0 d=0.1 t=82
de 	的	c=9 d=5.59313 t=160
duì nǐ 	对你	c=0 d=0.199501 t=105
dà 	大	c=1 d=1 t=116
dà shuài 	大帅	c=1 d=0.979175 t=160
dà xué shēng 	大学生	c=1 d=1 t=121
dì fāng 	地方	c=0 d=0.1 t=91
děi 	得	c=0 d=0.175957 t=152
dōng xi 	东西	c=1 d=1 t=86
dōu 	都	c=1 d=1 t=88
dōu kuài 	都快	c=0 d=0.1 t=44
dōu shì 	都是	c=2 d=1.62798 t=117
dǎo zhe shù 	倒着数	c=1 d=1 t=151
dǎo zhī 	导汁	c=2 d=1.31301 t=160
féng mài 	冯劢	c=3 d=2.58214 t=160
fēn 	分	c=1 d=1 t=72
gàn 	干	c=1 d=0.83527 t=160
gàn shá 	干啥	c=1 d=1 t=95
gěi bù gěi 	给不给	c=1 d=1 t=155
gěi nǐ 	给你	c=2 d=1.1274 t=160
gěi wǒ 	给我	c=1 d=1 t=80
gōng zuò 	工作	c=0 d=0.1 t=51
gōng zuò zhè me zhòng yào 	工作这么重要	c=1 d=1 t=52
gǎn jué 	感觉	c=3 d=2.00086 t=160
gǎo 	搞	c=0 d=0.1 t=80
gǎo zǒu le 	搞走了	c=1 d=1 t=81
huán jìng 	环境	c=1 d=1 t=69
huí dào jiā le 	回到家了	c=1 d=1 t=62
huí jiā 	回家	c=2 d=1.43739 t=160
huò qǔ 	获取	c=1 d=0.965605 t=160
hái shuō 	还说	c=1 d=1 t=77
hái shì 	还是	c=0 d=0.1 t=97
hái shì děi 	还是得	c=1 d=1 t=98
